inv_id,timestamp,part_number,description,transaction_type,quantity,linked_wo,asset_tag,stock_after,reversal_reference,controlling_interpretation,trace_notes
INV-001,2026-08-05 10:05,SPDR-L150-GRN,L-150 green coupling spider,issue,1,WO-92011,CPL-CHWP-2,3,,physical issue verifies spider replacement,does not close alignment
INV-002,2026-08-07 06:30,SEAL-CHW2-EPDM-SIC,correct CHWP-2 seal kit,cycle_count,0,WO-92027,CHWP-2,0,,zero stock before claimed seal replacement,refutes install claim
INV-003,2026-08-07 11:28,SEAL-CHW2-EPDM-SIC,correct CHWP-2 seal kit,reservation,1,WO-92031,CHWP-2,0,,"reservation only, not physical issue",duplicate WO staging only
INV-004,2026-08-07 12:15,SEAL-CHW2-BUNA-TC,wrong CHWP-2 seal kit,issue_reversed,1,WO-92027,CHWP-2,2,REV-004,wrong kit scanned then returned,must not count as fitted
INV-005,2026-08-08 15:05,GAUGE-0-60-SS,stainless 0-60 psi flush gauge,issue,1,WO-92041,SFP-CHW2,4,,physical issue verifies gauge installation,first local pressure after installation
INV-006,2026-08-09 13:00,TAP-KIT-CHW2,strainer pressure tap kit,issue,1,WO-92052,STR-CHW2,1,,physical issue verifies taps,no DP before installation
INV-007,2026-08-10 08:50,GSK-HX2-EPDM,HX-2 plate gasket set,issue,1,WO-92060,HX-2,2,,gasket issued for backflush,does not prove DP normal
INV-008,2026-08-11 08:15,ISO-VG220-FOOD,food-grade gearbox oil,issue,2,WO-92081,GB-CT4,6,,oil top-off verified,not gearbox rebuild
INV-009,2026-08-12 14:20,BV410-SEAT-KIT,BV-410 seat and stem kit,cycle_count,1,,BV-410,1,,kit in stock only,no valve rebuild
INV-010,2026-08-15 12:30,GSK-STR-8-EPDM,strainer cover gasket,issue,1,WO-92102,STR-CHW2,5,,verifies strainer pull,gasket issue only
INV-011,2026-08-17 09:20,SEAL-CHW2-EPDM-SIC,correct CHWP-2 seal kit,receipt,2,PO-7781,CHWP-2,2,,first correct kit receipt after evidence window,receipt is not issue
INV-012,2026-08-17 13:15,SEAL-CHW2-EPDM-SIC,correct CHWP-2 seal kit,issue,1,WO-92144,CHWP-2,1,,first physical issue after evidence window,outside 2026-08-03 to 2026-08-16
INV-013,2026-08-16 10:00,6309-2RS-C3,CHWP-2 drive-end bearing,cycle_count,4,,TT-CHWP2-DE,4,,bearing in stock only,no bearing issue
INV-014,2026-08-14 08:30,FLTR-SFP-10M,seal flush filter element,issue,1,WO-92099,SFP-CHW2,5,,flush filter replacement verified,seal remained wet
INV-015,2026-08-11 09:20,CT-FILL-STRIP-4,CT-4 fill strip kit,cycle_count,4,,CT-4,4,,parts in stock only,no fill repair issue
INV-016,2026-08-11 09:22,BELT-CT4-5VX,CT-4 fan belt,cycle_count,2,,CT-4,2,,belt in stock only,no belt issue
INV-017,2026-08-08 16:10,LASER-KIT-ROT,laser alignment kit return,return,1,WO-92034,CPL-CHWP-2,1,,tool returned after final reading,no repeat after clamp
INV-018,2026-08-16 12:00,LOTO-TAG-SET,lockout tag set,cycle_count,12,,LOTO,12,,stock exists,does not validate permits
