ct_log_id,timestamp,asset_tag,wetbulb_f,tower_supply_f,approach_f,basin_level_pct,conductivity_us_cm,makeup_conductivity_us_cm,cycles_of_concentration,blowdown_command,blowdown_feedback,biocide_residual_ppm,basin_condition,fan_gearbox_note,bypass_valve_note,resolved_use
CT-LOG-001,2026-08-03 08:00,CT-4,75.0,84.5,9.5,78,2100,600,3.5,12,10,0.34,light slime at screens,normal,BV trend diagnostic only,baseline
CT-LOG-002,2026-08-05 08:00,CT-4,75.0,86.2,11.2,78,2450,600,4.1,18,15,0.38,biofilm on basin screen,normal,BV trend diagnostic only,approach rising
CT-LOG-003,2026-08-07 08:00,CT-4,75.0,87.8,12.8,78,2780,600,4.6,28,18,0.42,matted screen about 45 percent,normal,BV trend diagnostic only,blowdown lag
CT-LOG-004,2026-08-08 14:00,CT-4,75.0,88.9,13.9,78,3060,600,5.1,34,21,0.46,matted screen about 60 percent; white scale flakes,oil level low before top-off,BV trend diagnostic only,high approach
CT-LOG-005,2026-08-10 08:00,CT-4,75.0,88.5,13.5,78,3180,600,5.3,36,22,0.5,screen matting still heavy,normal,BV trend diagnostic only,water treatment lag
CT-LOG-006,2026-08-11 09:00,CT-4,75.0,87.4,12.4,78,2950,600,4.9,31,27,0.54,basin cleaned one pass,normal,BV trend diagnostic only,partial recovery
CT-LOG-007,2026-08-12 15:00,CT-4,75.0,83.4,8.4,78,2350,600,3.9,24,24,0.58,basin screen cleared; fill flakes found,normal,BV trend diagnostic only,approach improved
CT-LOG-008,2026-08-15 08:00,CT-4,75.0,82.7,7.7,78,2200,600,3.7,18,18,0.62,screen clear but fill chips in sump corner,normal,BV trend diagnostic only,debris source open
CT-LOG-009,2026-08-16 08:00,CT-4,75.0,82.5,7.5,78,2180,600,3.6,16,16,0.66,screen clear,normal,BV trend diagnostic only,normal approach
CT-LOG-010,2026-08-07 04:00,CT-4,75,84,9.9,76,2560,600,4.27,20,18,0.52,routine check,normal route reading,position trend only,context row
CT-LOG-011,2026-08-07 14:00,CT-4,76,85,10.5,77,2680,600,4.47,24,22,0.58,routine check,normal route reading,position trend only,context row
CT-LOG-012,2026-08-08 00:00,CT-4,74,82,7.5,78,2800,600,4.67,28,26,0.4,routine check,normal route reading,position trend only,context row
CT-LOG-013,2026-08-08 10:00,CT-4,75,83,8.1,79,2920,600,4.87,32,30,0.46,routine check,normal route reading,position trend only,context row
CT-LOG-014,2026-08-08 20:00,CT-4,76,84,8.7,80,2200,600,3.67,36,34,0.52,routine check,normal route reading,position trend only,context row
CT-LOG-015,2026-08-09 06:00,CT-4,74,85,9.3,76,2320,600,3.87,20,18,0.58,routine check,normal route reading,position trend only,context row
CT-LOG-016,2026-08-09 16:00,CT-4,75,82,9.9,77,2440,600,4.07,24,22,0.4,routine check,normal route reading,position trend only,context row
CT-LOG-017,2026-08-10 02:00,CT-4,76,83,10.5,78,2560,600,4.27,28,26,0.46,routine check,normal route reading,position trend only,context row
CT-LOG-018,2026-08-10 12:00,CT-4,74,84,7.5,79,2680,600,4.47,32,30,0.52,routine check,normal route reading,position trend only,context row
CT-LOG-019,2026-08-10 22:00,CT-4,75,85,8.1,80,2800,600,4.67,36,34,0.58,routine check,normal route reading,position trend only,context row
CT-LOG-020,2026-08-11 08:00,CT-4,76,82,8.7,76,2920,600,4.87,20,18,0.4,routine check,normal route reading,position trend only,context row
CT-LOG-021,2026-08-11 18:00,CT-4,74,83,9.3,77,2200,600,3.67,24,22,0.46,routine check,normal route reading,position trend only,context row
CT-LOG-022,2026-08-12 04:00,CT-4,75,84,9.9,78,2320,600,3.87,28,26,0.52,routine check,normal route reading,position trend only,context row
CT-LOG-023,2026-08-12 14:00,CT-4,76,85,10.5,79,2440,600,4.07,32,30,0.58,routine check,normal route reading,position trend only,context row
CT-LOG-024,2026-08-13 00:00,CT-4,74,82,7.5,80,2560,600,4.27,36,34,0.4,routine check,normal route reading,position trend only,context row
CT-LOG-025,2026-08-13 10:00,CT-4,75,83,8.1,76,2680,600,4.47,20,18,0.46,routine check,normal route reading,position trend only,context row
CT-LOG-026,2026-08-13 20:00,CT-4,76,84,8.7,77,2800,600,4.67,24,22,0.52,routine check,normal route reading,position trend only,context row
CT-LOG-027,2026-08-14 06:00,CT-4,74,85,9.3,78,2920,600,4.87,28,26,0.58,routine check,normal route reading,position trend only,context row
CT-LOG-028,2026-08-14 16:00,CT-4,75,82,9.9,79,2200,600,3.67,32,30,0.4,routine check,normal route reading,position trend only,context row
CT-LOG-029,2026-08-15 02:00,CT-4,76,83,10.5,80,2320,600,3.87,36,34,0.46,routine check,normal route reading,position trend only,context row
CT-LOG-030,2026-08-15 12:00,CT-4,74,84,7.5,76,2440,600,4.07,20,18,0.52,routine check,normal route reading,position trend only,context row
